route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"AS",2,857,"East 90th St",4108,1,41,107
"AS",2,858,"East 90th St",4214,1,42,107
"AS",2,859,"East 90th St",4315,1,43,107
"AS",2,860,"Wall St./Pier 11",4312,0,43,108
"AS",2,861,"Wall St./Pier 11",4314,0,43,108
"AS",2,862,"Wall St./Pier 11",4109,0,41,108
"AS",2,863,"Wall St./Pier 11",4215,0,42,108
"AS",4,864,"East 90th St",4201,1,42,107
"AS",4,865,"East 90th St",4102,1,41,107
"AS",4,866,"East 90th St",4203,1,42,107
"AS",4,867,"East 90th St",4301,1,43,107
"AS",4,868,"East 90th St",4104,1,41,107
"AS",4,869,"East 90th St",4205,1,42,107
"AS",4,870,"East 90th St",4303,1,43,107
"AS",4,871,"East 90th St",4106,1,41,107
"AS",4,872,"East 90th St",4207,1,42,107
"AS",4,873,"East 90th St",4305,1,43,107
"AS",4,874,"East 90th St",4108,1,41,107
"AS",4,875,"East 90th St",4209,1,42,107
"AS",4,876,"East 90th St",4307,1,43,107
"AS",4,877,"East 90th St",4110,1,41,107
"AS",4,878,"East 90th St",4211,1,42,107
"AS",4,879,"East 90th St",4309,1,43,107
"AS",4,880,"East 90th St",4112,1,41,107
"AS",4,881,"Wall St./Pier 11",4101,0,41,108
"AS",4,882,"Wall St./Pier 11",4202,0,42,108
"AS",4,883,"Wall St./Pier 11",4103,0,41,108
"AS",4,884,"Wall St./Pier 11",4204,0,42,108
"AS",4,885,"Wall St./Pier 11",4302,0,43,108
"AS",4,886,"Wall St./Pier 11",4105,0,41,108
"AS",4,887,"Wall St./Pier 11",4206,0,42,108
"AS",4,888,"Wall St./Pier 11",4304,0,43,108
"AS",4,889,"Wall St./Pier 11",4107,0,41,108
"AS",4,890,"Wall St./Pier 11",4208,0,42,108
"AS",4,891,"Wall St./Pier 11",4306,0,43,108
"AS",4,892,"Wall St./Pier 11",4109,0,41,108
"AS",4,893,"Wall St./Pier 11",4210,0,42,108
"AS",4,894,"Wall St./Pier 11",4308,0,43,108
"AS",4,895,"Wall St./Pier 11",4111,0,41,108
"AS",4,896,"Wall St./Pier 11",4212,0,42,108
"AS",4,897,"Wall St./Pier 11",4310,0,43,108
"SV",4,898,"Ferry Point Park",6301,1,63,15
"SV",4,899,"Ferry Point Park",6203,1,62,15
"SV",4,900,"Ferry Point Park",6303,1,63,15
"SV",4,901,"Ferry Point Park",6205,1,62,15
"SV",4,902,"Ferry Point Park",6305,1,63,15
"SV",4,903,"Ferry Point Park",6207,1,62,15
"SV",4,904,"Ferry Point Park",6307,1,63,15
"SV",4,905,"Ferry Point Park",6209,1,62,15
"SV",4,912,"Ferry Point Park",6309,1,63,15
"SV",4,913,"Ferry Point Park",6211,1,62,15
"SV",4,914,"Wall St./Pier 11",6302,0,63,83
"SV",4,915,"Wall St./Pier 11",6204,0,62,83
"SV",4,916,"Wall St./Pier 11",6304,0,63,83
"SV",4,917,"Wall St./Pier 11",6206,0,62,83
"SV",4,918,"Wall St./Pier 11",6306,0,63,83
